,site,product_group,bl_number,ship_to_customer,ship_to_city,state,net_pick_weight,total_number_of_pallet,lat,lng,coordinates,cluster
218,AMJK,SW,W43C726,ASSOCIATED PACKAGING-GALLATIN,MEMPHIS,TN,51200.0,40,35.1087,-89.9663,"(35.1087, -89.9663)",47
219,AMJK,SW,W44A456,PACKAGING EQUIPMENT & SUPPLY,MEMPHIS,TN,28136.0,25,35.1087,-89.9663,"(35.1087, -89.9663)",47
220,AMJK,SW,W44A505,ASSOCIATED PACKAGING-GALLATIN,MEMPHIS,TN,5955.0,5,35.1087,-89.9663,"(35.1087, -89.9663)",47
221,AMJK,SW,W43A664,ABB INC. MT JULIET TN,MOUNT JULIET,TN,6300.0,5,36.199,-86.5115,"(36.199, -86.5115)",33
222,AMJK,SW,W26A936,ATHENS PAPER,NASHVILLE,TN,9870.0,12,36.1715,-86.7842,"(36.1715, -86.7842)",33
223,AMJK,SW,W43A119,AMERICAN PAPER & TWINE,NASHVILLE,TN,15120.0,12,36.1715,-86.7842,"(36.1715, -86.7842)",33
224,AMJK,SW,W43C681,ATHENS PAPER,NASHVILLE,TN,1659.0,1,36.1715,-86.7842,"(36.1715, -86.7842)",33
225,AMJK,SW,W43A215,QC INDUSTRIAL SOLUTIONS,PLEASANT VIEW,TN,6345.0,5,36.3893,-87.0455,"(36.3893, -87.0455)",33
226,AMJK,SW,W44A337,PEYTON'S MID SOUTH,PORTLAND,TN,111072.0,104,36.5921,-86.5239,"(36.5921, -86.5239)",33
227,AMJK,SW,W44A068,ABILENE,ABILENE,TX,107772.0,70,32.4543,-99.7384,"(32.4543, -99.7384)",67
228,AMJK,SW,W35C955,SMURFIT KAPPA BATES,ARLINGTON,TX,10800.0,10,32.6998,-97.125,"(32.6998, -97.125)",68
229,AMJK,SW,WWCB131,PROFESSIONAL PACKAGING SYSTEMS,BROWNSVILLE,TX,7235.0,5,25.9975,-97.458,"(25.9975, -97.458)",69
230,AMJK,SW,W26A808,LINDENMEYR MUNROE DALLAS,DALLAS,TX,10240.0,8,32.7935,-96.7667,"(32.7935, -96.7667)",68
231,AMJK,SW,W44A152,ASH AUTOMATED PACKAGING,DALLAS,TX,15940.0,11,32.7935,-96.7667,"(32.7935, -96.7667)",68
232,AMJK,SW,W26A496,PROFESSIONAL PACKAGING,EL PASO,TX,5055.0,15,31.8476,-106.43,"(31.8476, -106.43)",70
233,AMJK,SW,W43B049,PROFESSIONAL PACKAGING,EL PASO,TX,14470.0,10,31.8476,-106.43,"(31.8476, -106.43)",70
234,AMJK,SW,W44A580,LINEAGE LOGISTICS LLC,FRIONA,TX,2506.0,2,34.6394,-102.723,"(34.6394, -102.723)",71
235,AMJK,SW,W36A587,SIGMA SUPPLY,GRAND PRAIRIE,TX,8322.0,6,32.6871,-97.0208,"(32.6871, -97.0208)",68
236,AMJK,SW,W43B052,SIGMA SUPPLY,GRAND PRAIRIE,TX,17328.0,16,32.6871,-97.0208,"(32.6871, -97.0208)",68
237,AMJK,SW,WWCB480,PROFESSIONAL PACKAGING SYSTEMS,GRAND PRAIRIE,TX,3318.0,3,32.6871,-97.0208,"(32.6871, -97.0208)",68
238,AMJK,SW,W26B036,ERNEST PACKAGING SOLUTIONS ** AMTOPP **,HOUSTON,TX,16472.0,10,29.786,-95.3885,"(29.786, -95.3885)",72
239,AMJK,SW,W36A039,SIGMA SUPPLY OF NA ...INC HOUSTON BRANCH,HOUSTON,TX,27593.0,23,29.786,-95.3885,"(29.786, -95.3885)",72
240,AMJK,SW,W43A169,KENT H LANDSBERG-HOUSTON,HOUSTON,TX,5530.0,5,29.786,-95.3885,"(29.786, -95.3885)",72
241,AMJK,SW,W43A533,PIPING TECHNOLOGIES,HOUSTON,TX,23764.0,26,29.786,-95.3885,"(29.786, -95.3885)",72
242,AMJK,SW,W43B371,SIGMA SUPPLY OF NA ...INC HOUSTON BRANCH,HOUSTON,TX,22220.0,20,29.786,-95.3885,"(29.786, -95.3885)",72
243,AMJK,SW,W43B919,SOUTHERNCARLSON -HOUSTON,HOUSTON,TX,1659.0,1,29.786,-95.3885,"(29.786, -95.3885)",72
244,AMJK,SW,W43C156,LEGACY PAPER AND PACKAGING,HOUSTON,TX,5820.0,4,29.786,-95.3885,"(29.786, -95.3885)",72
245,AMJK,SW,W43C261,"THE NEW HAVEN COMPANIES, INC.",HOUSTON,TX,3318.0,2,29.786,-95.3885,"(29.786, -95.3885)",72
246,AMJK,SW,W44A122,KENT H LANDSBERG-HOUSTON,HOUSTON,TX,5530.0,5,29.786,-95.3885,"(29.786, -95.3885)",72
247,AMJK,SW,W44A325,LEGACY PAPER AND PACKAGING,HOUSTON,TX,45006.0,57,29.786,-95.3885,"(29.786, -95.3885)",72
248,AMJK,SW,W44A517,NPC - HOUSTON,HOUSTON,TX,12288.0,8,29.786,-95.3885,"(29.786, -95.3885)",72
249,AMJK,SW,W44B173,IMPERIAL DADE - HOUSTON,HOUSTON,TX,22130.0,14,29.786,-95.3885,"(29.786, -95.3885)",72
250,AMJK,SW,WWCD454,LEGACY PAPER AND PACKAGING,HOUSTON,TX,1456.0,1,29.786,-95.3885,"(29.786, -95.3885)",72
251,AMJK,SW,WWCA441,GULF ATLANTIC PACKAGING CORP,HUMBLE,TX,5812.0,10,29.9921,-95.2655,"(29.9921, -95.2655)",72
252,AMJK,SW,W35B062,WORLD CLASS DISTRIBUTION -TX,IRVING,TX,4392.0,12,32.8583,-96.9702,"(32.8583, -96.9702)",68
253,AMJK,SW,W44A536,NCH CORPORATION,IRVING,TX,1241.0,1,32.8583,-96.9702,"(32.8583, -96.9702)",68
254,AMJK,SW,W43A375,"ZADOK SUPPLY, LLC",KELLER,TX,2196.0,6,32.9335,-97.2256,"(32.9335, -97.2256)",68
255,AMJK,SW,W44A151,"ZADOK SUPPLY, LLC",KELLER,TX,58830.0,70,32.9335,-97.2256,"(32.9335, -97.2256)",68
256,AMJK,SW,W25D128,POLYPAK CORP,LAREDO,TX,13023.0,9,27.5625,-99.4874,"(27.5625, -99.4874)",73
257,AMJK,SW,W36A390,RDS LOGISTICS INC,LAREDO,TX,14864.0,16,27.5625,-99.4874,"(27.5625, -99.4874)",73
258,AMJK,SW,W42B717,SYNTRANET (LLDPE DEL NORTE),LAREDO,TX,2600.0,2,27.5625,-99.4874,"(27.5625, -99.4874)",73
259,AMJK,SW,W43A968,HESSEN FORWARDING LTD,LAREDO,TX,82740.0,70,27.5625,-99.4874,"(27.5625, -99.4874)",73
260,AMJK,SW,W43C076,WEST TEXAS WHSE EQUIPMENT & SUPPLY,LAREDO,TX,16639.0,15,27.5625,-99.4874,"(27.5625, -99.4874)",73
261,AMJK,SW,W44A163,GRUPO EI,LAREDO,TX,21324.0,20,27.5625,-99.4874,"(27.5625, -99.4874)",73
262,AMJK,SW,WWBA426,"UNITED FWD - RECOIN, INC",LAREDO,TX,21384.0,22,27.5625,-99.4874,"(27.5625, -99.4874)",73
263,AMJK,SW,WWBA537,WASHINGTON FORWARDING,LAREDO,TX,23152.0,16,27.5625,-99.4874,"(27.5625, -99.4874)",73
264,AMJK,SW,WWCA858,IBS COMPANY / INTEPLAST/MATERIAL CONTROL,LOLITA,TX,7275.0,15,28.8326,-96.5388,"(28.8326, -96.5388)",74
265,AMJK,SW,W44A221,LINDENMEYR MUNROE LUBBOCK,LUBBOCK,TX,28320.0,30,33.5657,-101.8879,"(33.5657, -101.8879)",75
266,AMJK,SW,W36A419,WAGNER SUPPLY COMPANY,ODESSA,TX,10650.0,7,31.8801,-102.3448,"(31.8801, -102.3448)",76
267,AMJK,SW,WWCA601,WAGNER SUPPLY COMPANY,ODESSA,TX,9833.0,6,31.8801,-102.3448,"(31.8801, -102.3448)",76
268,AMJK,SW,WXWC029,AMTOPP C/O MOR PAK SPECIALTIES INC.,ROCKWALL,TX,31083.0,25,32.9169,-96.4374,"(32.9169, -96.4374)",68
269,AMJK,SW,W43B137,THE NEW HAVEN COMPANIES,SAN ANTONIO,TX,19353.0,11,29.4632,-98.5238,"(29.4632, -98.5238)",77
270,AMJK,SW,W44A236,ECOBOX - SAN ANTONIO,SAN ANTONIO,TX,26105.0,21,29.4632,-98.5238,"(29.4632, -98.5238)",77
271,AMJK,SW,W44A285,FERGUSON FACILITIES SUPPLY,SAN ANTONIO,TX,16354.0,11,29.4632,-98.5238,"(29.4632, -98.5238)",77
272,AMJK,SW,WWCA873,ECOBOX - SAN ANTONIO,SAN ANTONIO,TX,22600.0,19,29.4632,-98.5238,"(29.4632, -98.5238)",77
273,AMJK,SW,W25C040,INDECO PRODUCTS INC.,SAN MARCOS,TX,13867.0,10,29.8734,-97.9356,"(29.8734, -97.9356)",77
274,AMJK,SW,W44A190,INDECO PRODUCTS INC.,SAN MARCOS,TX,40302.0,30,29.8734,-97.9356,"(29.8734, -97.9356)",77
275,AMJK,SW,W44A388,WALMART STORE 6068,SANGER,TX,6468.0,6,33.3715,-97.1678,"(33.3715, -97.1678)",68
276,AMJK,SW,W43A830,ROYAL CASE COMPANY INC,SHERMAN,TX,22090.0,20,33.6273,-96.6221,"(33.6273, -96.6221)",68
277,AMJK,SW,WWCA565,WAL-MART DISTRIBUTION CENTER #7016,GORDONSVILLE,VA,5352.0,12,38.136,-78.1879,"(38.136, -78.1879)",78
278,AMJK,SW,W44A326,"NORTHWEST PREMIER DELIVERY, LCC",AUBURN,WA,2850.0,2,47.3039,-122.2108,"(47.3039, -122.2108)",79
279,AMJK,SW,W26A934,MULTIFAB INC,KENT,WA,14201.0,21,47.3887,-122.2128,"(47.3887, -122.2128)",79
280,AMJK,SW,W44A295,RAINER VENEER INC.,SPANAWAY,WA,12800.0,10,47.0979,-122.4233,"(47.0979, -122.4233)",79
281,AMJK,SW,WWCA452,MULTI FAB PACKAGING,SPOKANE VALLEY,WA,20846.0,14,47.6626,-117.2346,"(47.6626, -117.2346)",80
282,AMJK,SW,W25A832,MICHELSEN PACKAGING,YAKIMA,WA,1261.0,1,46.5923,-120.5496,"(46.5923, -120.5496)",81
283,AMJK,SW,W44A131,ROCKET INDUSTRIAL,APPLETON,WI,24956.0,16,44.278,-88.3892,"(44.278, -88.3892)",82
285,AMJK,SW,W43A796,LIBERTY DISTRIBUTORS,TRIADELPHIA,WV,28360.0,20,40.0483,-80.623,"(40.0483, -80.623)",83
